Outcome,Risk_of_Bias,Inconsistency,Indirectness,Imprecision,Publication_Bias,Overall_Certainty
Outcome 78,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 79,Not Serious,Serious,Serious,Not Serious,Not Serious,Moderate
Outcome 80,Serious,Not Serious,Serious,Serious,Not Serious,Very Low
Outcome 81,Very Serious,Very Serious,Not Serious,Not Serious,Not Serious,Very Low
Outcome 82,Not Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 83,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 84,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 85,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 86,Serious,Serious,Not Serious,Not Serious,Not Serious,Moderate
Outcome 87,Very Serious,Not Serious,Serious,Serious,Not Serious,Very Low
Outcome 88,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
Outcome 89,Serious,Very Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 90,Very Serious,Not Serious,Not Serious,Serious,Not Serious,Low
Outcome 91,Not Serious,Serious,Serious,Serious,Not Serious,Very Low
Outcome 92,Serious,Not Serious,Serious,Not Serious,Not Serious,Moderate
Outcome 93,Very Serious,Very Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 94,Not Serious,Not Serious,Serious,Serious,Not Serious,Low
Outcome 95,Serious,Serious,Serious,Not Serious,Not Serious,Very Low
Outcome 96,Very Serious,Not Serious,Not Serious,Not Serious,Not Serious,High
Outcome 97,Not Serious,Very Serious,Serious,Serious,Not Serious,Very Low
Outcome 98,Serious,Serious,Not Serious,Serious,Not Serious,Very Low
Outcome 99,Very Serious,Not Serious,Serious,Not Serious,Not Serious,Low
Outcome 100,Not Serious,Serious,Not Serious,Serious,Not Serious,Low
