Author,Year,InclusionCriteria,StandardMeasurement,ValidIdentification,ConsecutiveInclusion,CompleteInclusion,Demographics,ClinicalInfo,Outcomes,SiteDescription,Statistics,Total,Overall RoB
Study 41,2022,0,1,0,0,1,1,0,1,0,1,5,High
Study 42,2023,1,1,0,0,0,0,1,1,1,0,5,High
Study 43,2024,0,0,1,1,0,1,0,0,1,1,5,High
Study 44,2025,1,0,1,0,1,0,0,1,0,0,4,High
Study 45,2015,0,1,0,1,0,0,1,0,1,0,4,High
Study 46,2016,0,0,1,0,1,1,0,1,0,0,4,High
Study 47,2017,1,0,0,0,0,1,1,0,1,0,4,High
Study 48,2018,0,1,1,0,0,0,0,1,0,1,4,High
Study 49,2019,0,0,0,1,1,0,1,0,0,0,3,High
Study 50,2020,1,0,0,0,1,0,0,1,0,1,3,High
Study 51,2021,0,1,0,0,0,1,0,0,1,0,3,High
Study 52,2022,0,0,1,0,0,0,1,0,0,1,3,High
Study 53,2023,1,1,1,1,1,1,1,1,1,1,10,Low
Study 54,2024,1,1,1,1,0,1,1,1,0,1,8,Low
Study 55,2025,1,1,1,0,1,1,0,1,1,1,8,Low
Study 56,2015,1,1,0,1,1,0,1,1,1,0,7,High
Study 57,2016,1,0,1,1,0,1,1,0,1,1,7,High
Study 58,2017,0,1,1,1,1,0,1,1,0,1,7,High
Study 59,2018,1,1,0,1,0,1,0,1,1,1,7,High
Study 60,2019,1,0,1,0,1,1,1,0,1,0,6,High
Study 61,2020,0,1,1,1,0,0,1,1,1,0,6,High
Study 62,2021,1,0,0,1,1,1,0,1,0,1,6,High
Study 63,2022,0,1,0,1,1,0,1,0,1,1,6,High
Study 64,2023,1,0,1,0,0,1,1,1,0,0,5,High
Study 65,2024,0,1,1,0,1,0,1,0,1,0,5,High
Study 66,2025,1,0,0,1,0,1,0,1,1,0,5,High
Study 67,2015,0,1,0,0,1,1,0,1,0,1,5,High
Study 68,2016,1,1,0,0,0,0,1,1,1,0,5,High
Study 69,2017,0,0,1,1,0,1,0,0,1,1,5,High
Study 70,2018,1,0,1,0,1,0,0,1,0,0,4,High
Study 71,2019,0,1,0,1,0,0,1,0,1,0,4,High
Study 72,2020,0,0,1,0,1,1,0,1,0,0,4,High
Study 73,2021,1,0,0,0,0,1,1,0,1,0,4,High
Study 74,2022,0,1,1,0,0,0,0,1,0,1,4,High
Study 75,2023,0,0,0,1,1,0,1,0,0,0,3,High
Study 76,2024,1,0,0,0,1,0,0,1,0,1,3,High
Study 77,2025,0,1,0,0,0,1,0,0,1,0,3,High
Study 78,2015,0,0,1,0,0,0,1,0,0,1,3,High
Study 79,2016,1,1,1,1,1,1,1,1,1,1,10,Low
Study 80,2017,1,1,1,1,0,1,1,1,0,1,8,Low
Study 81,2018,1,1,1,0,1,1,0,1,1,1,8,Low
Study 82,2019,1,1,0,1,1,0,1,1,1,0,7,High
Study 83,2020,1,0,1,1,0,1,1,0,1,1,7,High
Study 84,2021,0,1,1,1,1,0,1,1,0,1,7,High
Study 85,2022,1,1,0,1,0,1,0,1,1,1,7,High
Study 86,2023,1,0,1,0,1,1,1,0,1,0,6,High
Study 87,2024,0,1,1,1,0,0,1,1,1,0,6,High
Study 88,2025,1,0,0,1,1,1,0,1,0,1,6,High
Study 89,2015,0,1,0,1,1,0,1,0,1,1,6,High
Study 90,2016,1,0,1,0,0,1,1,1,0,0,5,High
Study 91,2017,0,1,1,0,1,0,1,0,1,0,5,High
Study 92,2018,1,0,0,1,0,1,0,1,1,0,5,High
Study 93,2019,0,1,0,0,1,1,0,1,0,1,5,High
Study 94,2020,1,1,0,0,0,0,1,1,1,0,5,High
Study 95,2021,0,0,1,1,0,1,0,0,1,1,5,High
Study 96,2022,1,0,1,0,1,0,0,1,0,0,4,High
Study 97,2023,0,1,0,1,0,0,1,0,1,0,4,High
Study 98,2024,0,0,1,0,1,1,0,1,0,0,4,High
Study 99,2025,1,0,0,0,0,1,1,0,1,0,4,High
Study 100,2015,0,1,1,0,0,0,0,1,0,1,4,High
